device,cpu_usage,network_activity,memory_usage,anomalous_behavior
HomePod,24.51,815.3,5906.51,1
Alexa,50.56,422.93,3828.0,0
Alexa,52.08,782.44,737.01,0
HomePod,30.52,734.6,5057.03,1
Alexa,35.36,175.19,1732.82,0
Alexa,65.96,723.95,1102.12,1
Alexa,80.9,427.2,1524.93,1
Alexa,48.74,852.85,2796.27,1
HomePod,72.21,775.3,7295.84,1
Alexa,17.13,630.7,7836.91,0
HomePod,55.79,305.94,5658.46,1
HomePod,41.21,380.02,6163.31,1
HomePod,41.31,472.27,1657.2,0
HomePod,76.43,2.79,7914.18,1
Alexa,43.09,691.96,4912.4,1
HomePod,49.17,609.61,4898.96,0
Alexa,29.22,763.76,4519.42,1
HomePod,34.38,757.51,7510.99,0
Alexa,39.04,983.15,2220.62,1
Alexa,29.77,306.76,6676.15,1
HomePod,75.22,154.83,5878.7,0
Alexa,76.97,18.78,3681.69,1
HomePod,42.12,220.05,1623.58,1
Alexa,75.15,436.58,5940.11,0
Alexa,43.9,352.23,4031.95,1
HomePod,59.82,530.33,4955.37,1
Alexa,71.55,36.28,3698.9,0
HomePod,23.9,510.37,4112.16,0
HomePod,16.76,363.56,5774.38,0
HomePod,67.36,889.7,3409.95,0
HomePod,85.74,855.1,3287.61,0
HomePod,54.83,358.02,6479.25,0
HomePod,28.05,23.51,5889.0,1
HomePod,28.01,849.77,7618.23,1
Alexa,15.16,241.68,4162.31,0
HomePod,80.87,745.17,6813.62,1
HomePod,11.53,710.75,837.69,0
HomePod,54.71,296.31,6326.62,0
Alexa,24.05,457.03,4143.86,0
HomePod,61.13,23.86,1155.92,1
Alexa,35.46,228.43,6855.22,1
Alexa,76.14,744.27,1574.4,1
Alexa,11.62,773.29,2789.04,1
Alexa,73.44,447.06,7185.62,1
HomePod,71.78,310.69,5867.78,0
Alexa,47.71,971.52,6548.35,1
Alexa,30.14,117.37,7431.67,0
HomePod,89.35,703.91,3425.26,1
Alexa,55.39,22.14,3067.38,1
HomePod,48.16,608.62,1854.65,0
Alexa,38.87,841.94,4065.11,1
HomePod,68.69,606.79,2783.43,0
Alexa,44.99,146.95,7201.09,1
Alexa,56.65,141.06,2501.97,1
Alexa,43.0,117.15,1360.88,0
HomePod,31.98,950.05,2977.58,0
Alexa,61.73,90.48,2025.78,0
HomePod,79.46,819.43,6950.45,0
HomePod,87.28,433.84,202.1,0
HomePod,78.13,199.92,5460.16,0
HomePod,45.81,644.06,2152.43,1
Alexa,23.39,253.68,7203.77,0
Alexa,33.99,666.6,1060.45,0
Alexa,78.76,279.88,200.83,1
Alexa,69.93,275.2,4546.52,0
Alexa,58.42,741.2,3280.37,1
HomePod,87.18,634.45,3938.65,0
HomePod,38.24,614.22,814.03,0
Alexa,45.39,112.7,4363.78,0
HomePod,79.3,610.44,1714.29,0
HomePod,76.46,715.34,283.93,0
Alexa,21.36,593.2,1361.32,0
HomePod,46.24,796.69,7481.54,0
Alexa,25.13,321.78,5992.82,1
Alexa,21.94,15.81,2630.03,0
HomePod,35.75,452.47,1698.12,1
Alexa,19.04,689.92,1740.67,0
Alexa,79.12,705.83,1067.18,0
Alexa,60.03,504.34,4977.65,1
HomePod,70.94,588.72,4365.41,1
HomePod,44.83,270.3,3060.69,1
HomePod,23.72,57.2,3582.18,0
HomePod,32.7,776.7,5798.43,0
Alexa,23.44,198.16,1822.9,0
Alexa,16.44,771.92,6523.82,1
Alexa,57.47,953.34,6288.52,0
HomePod,37.38,771.63,7054.64,0
Alexa,12.87,139.36,6297.26,0
HomePod,76.81,162.28,203.94,1
Alexa,85.04,308.85,2624.15,0
HomePod,56.92,682.04,1904.97,0
HomePod,20.23,912.15,5241.24,0
Alexa,42.32,915.17,3940.17,0
HomePod,43.74,268.24,6979.74,0
Alexa,60.54,567.9,2322.66,1
Alexa,10.46,161.31,1888.92,0
HomePod,76.54,113.95,6259.99,0
Alexa,41.35,407.62,6433.12,0
Alexa,25.65,565.99,2170.03,0
HomePod,27.25,192.69,1504.14,1
Alexa,76.85,431.61,1986.77,0
HomePod,80.11,178.49,7687.93,1
HomePod,11.13,280.07,6014.21,1
HomePod,81.11,684.15,5468.3,1
Alexa,57.57,19.59,1234.98,0
HomePod,72.96,99.18,7103.28,0
HomePod,26.81,993.74,1621.39,1
HomePod,40.5,754.27,6838.03,0
Alexa,61.94,983.16,4192.47,1
HomePod,44.97,413.2,4493.73,0
HomePod,69.93,31.95,6737.89,0
Alexa,24.92,295.27,6881.65,1
HomePod,77.79,1.29,5074.07,0
Alexa,78.73,770.57,7900.93,0
HomePod,62.16,712.07,6212.56,0
HomePod,26.96,629.59,6221.26,0
HomePod,68.25,21.12,165.93,1
Alexa,60.21,846.47,3891.39,1
Alexa,54.16,426.25,1868.14,0
HomePod,62.36,961.42,6372.09,1
Alexa,21.61,924.67,4998.42,1
Alexa,78.85,474.12,2178.39,1
Alexa,23.13,347.28,4118.06,0
Alexa,65.72,204.87,2211.12,0
HomePod,19.96,152.02,678.23,1
HomePod,45.75,141.43,3028.45,0
Alexa,58.17,211.84,3688.8,0
Alexa,11.58,230.01,4593.7,1
Alexa,68.44,960.16,2182.86,1
Alexa,47.35,30.52,5686.29,0
Alexa,76.99,930.74,4264.67,1
Alexa,56.9,86.57,2692.92,1
Alexa,87.52,666.46,241.4,1
Alexa,39.41,824.5,5201.47,0
Alexa,87.74,860.34,2496.69,1
Alexa,87.82,102.23,1601.92,0
Alexa,87.64,946.09,5823.2,1
HomePod,88.27,753.94,1184.32,0
HomePod,74.37,101.36,2768.85,1
Alexa,19.17,105.91,6633.36,0
HomePod,48.15,30.18,5240.15,0
Alexa,85.99,131.32,2182.86,1
Alexa,61.35,869.61,7072.17,1
HomePod,28.81,313.56,417.67,1
Alexa,73.33,64.46,2384.79,0
HomePod,60.08,721.55,1311.99,1
HomePod,33.04,412.0,6264.77,0
Alexa,37.98,30.39,7508.85,0
HomePod,33.06,419.04,4733.22,1
HomePod,14.0,449.04,2687.52,0
HomePod,70.63,9.36,4372.14,1
Alexa,27.54,463.23,4573.07,0
HomePod,82.7,714.01,4120.39,1
HomePod,74.2,537.62,1738.4,0
HomePod,61.22,837.98,6373.97,1
HomePod,76.89,88.36,6514.58,0
HomePod,60.95,525.08,1868.95,0
Alexa,21.58,340.33,2609.31,0
Alexa,81.67,730.77,7594.41,1
Alexa,45.68,236.64,1389.04,1
Alexa,44.39,818.09,2692.27,0
HomePod,46.71,885.56,156.12,0
Alexa,27.94,345.48,2370.65,0
HomePod,75.62,646.78,1719.75,0
HomePod,66.75,389.88,3823.53,1
Alexa,87.82,243.07,499.72,1
Alexa,64.64,204.48,3529.76,0
Alexa,41.63,558.89,418.82,1
HomePod,80.37,367.7,208.68,0
Alexa,64.12,601.26,2970.06,0
Alexa,36.03,11.8,1051.56,1
Alexa,36.0,67.09,5024.69,1
Alexa,86.1,687.99,6825.0,0
HomePod,56.81,933.14,3808.22,1
Alexa,56.26,42.33,3274.13,1
Alexa,62.11,111.53,6604.53,0
Alexa,18.57,219.54,1957.77,0
HomePod,12.88,586.71,7159.91,1
Alexa,79.76,198.79,1101.72,0
Alexa,59.76,216.09,1226.12,0
HomePod,57.75,980.24,4046.98,1
HomePod,37.5,240.04,1913.44,1
HomePod,13.98,114.17,7661.42,1
HomePod,17.66,303.7,4856.06,1
Alexa,52.31,809.55,7021.34,0
HomePod,34.44,554.37,5214.97,0
Alexa,61.06,624.63,647.65,0
Alexa,80.12,83.03,6320.29,0
Alexa,77.41,466.11,4678.44,1
Alexa,71.21,522.74,4740.72,1
